C_sys,C_right,V_cap,PID_7A_loop,PID_45W_loop,output voltage,cal duty,PID duty
0.412601,-0.251429,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,0.045128,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.038681,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,0.032234,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,0.000000,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.051575,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.393260,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.399707,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.167619,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.412601,-0.419048,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.077363,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.154725,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.264322,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
0.419048,-0.509304,24.820515,0.000000,23.934067,23.934067,270.000000,0.000000
