C_right,v_cap,C_sys,PID_7A_loop,PID_45W_loop,PID_n7A_loop,supercap_max_power_current,supercap_target_voltage
-0.760733,18.721760,0.831649,24.829376,24.997803,12.543223,1.779342,24.563444
-0.425495,18.721760,0.831649,24.474796,24.997803,12.605275,1.779342,24.616631
-0.831649,18.721760,0.825202,24.678680,24.997803,12.569368,1.779342,24.563444
-0.573773,18.721760,0.831649,24.581169,24.997803,12.631868,1.779342,24.448204
-0.644689,18.721760,0.831649,24.687546,24.997803,12.755970,1.779342,24.749596
-0.659584,18.721760,0.825202,24.616631,24.997803,12.605275,1.779342,24.723902
-0.586667,18.721760,0.831649,24.749596,24.997803,12.756419,1.779342,24.811649
-0.451282,18.721760,0.831649,24.643223,24.997803,12.534359,1.779342,24.501392
-0.489964,18.721760,0.831649,24.731867,24.997803,12.667325,1.779342,24.687546
-1.139360,18.721760,0.883224,24.767328,24.997803,12.667325,1.779342,24.518223
-1.050843,18.721760,0.831649,24.625492,24.997803,12.551640,1.779342,24.723003
-1.083078,18.712893,0.831649,24.633461,24.997803,12.764835,1.779342,24.802782
-1.295825,18.721760,0.831649,24.527983,24.997803,12.596410,1.779342,24.572306
-1.036965,18.730621,0.831649,24.749596,24.997803,12.693919,1.779342,24.723003
-0.483517,18.730621,0.831649,24.678680,24.997803,12.684677,1.779342,24.669817
-1.063737,18.721760,0.831649,24.643223,24.997803,12.631868,1.779342,24.669817
-1.063737,18.721760,0.831649,24.492525,24.997803,12.516630,1.779342,24.669817
-0.689810,18.721760,0.831649,24.572306,24.997803,12.569817,1.779342,24.581133
-0.380367,18.721760,0.831649,24.607765,24.997803,12.730275,1.779342,24.820515
-0.747839,18.721760,0.831649,24.776190,24.997803,12.747081,1.779342,24.802782
-1.141100,18.721760,0.831641,24.785053,24.997803,12.773699,1.779342,24.767328
-1.153993,18.721760,0.831649,24.563444,24.997803,12.587546,1.779342,24.598902
-1.031518,18.721760,0.831649,24.731867,24.997803,12.702784,1.779342,24.705275
-0.431942,18.748352,0.831649,24.678566,24.997803,12.782564,1.779342,24.820515
-1.295825,18.757215,0.831649,24.669817,24.997803,12.631868,1.779342,24.652088
-0.638242,18.766081,0.831649,24.554579,24.997803,12.711648,1.779342,24.581169
-0.805861,18.766081,0.831649,24.581169,24.997803,12.667325,1.779342,24.759359
-1.012162,18.774946,0.831649,24.715036,24.997803,12.614197,1.779342,24.598902
-0.522198,18.774946,0.831649,24.900293,24.997803,12.826886,1.779342,24.820515
-0.909441,18.774946,0.831649,24.687546,24.997803,12.667325,1.779342,24.723003
-0.915458,18.774946,0.831649,24.767328,24.997803,12.764835,1.779342,24.767328
-0.915458,18.774946,0.831649,24.767328,24.997803,12.810503,1.779342,24.811649
-1.063737,18.810404,0.831649,24.643223,24.997803,12.729377,1.779342,24.696409
-0.738690,18.819267,0.831649,24.731867,24.997803,12.720512,1.779342,24.714138
-0.986381,18.819267,0.831649,24.838240,24.997803,12.835751,1.779342,24.668659
-0.644689,18.819267,0.831649,24.714138,24.997803,12.648699,1.779342,24.616631
-0.515751,18.819267,0.844733,24.731647,24.997803,12.844614,1.779342,24.793919
-0.503182,18.854725,0.831649,24.802782,24.997803,12.782564,1.779342,24.785053
-1.340953,18.854725,0.831649,24.935749,24.997803,12.897801,1.779342,24.820515
-1.102418,18.854725,0.831649,24.909159,24.997803,12.810055,1.779342,24.731867
-0.702711,18.854725,0.866424,24.785053,24.997803,12.702784,1.779342,24.820515
-1.246759,18.854725,0.838096,24.944616,24.997803,12.924395,1.779342,24.820515
-1.186991,18.854725,0.831649,24.926884,24.997803,12.880073,1.779342,24.749596
-0.547986,18.854725,0.831649,24.687546,24.997803,12.782114,1.779342,24.820515
-1.005715,18.854725,0.831649,24.776190,24.997803,12.818021,1.779342,24.767328
-0.631795,18.854725,0.831649,24.802782,24.997803,12.800292,1.779342,24.749596
-0.580220,18.854725,0.831649,24.749596,24.997803,12.738242,1.779342,24.776081
-0.805861,18.854725,0.857436,24.855972,24.997803,12.773401,1.779342,24.820515
-1.083078,18.854725,0.831649,24.811533,24.997803,12.844614,1.779342,24.820515
-0.818755,18.854725,0.831649,24.723003,24.997803,12.738242,1.779342,24.776190
-1.005715,18.854725,0.831649,24.749596,24.997803,12.818021,1.779342,24.677937
-0.535092,18.854725,0.831649,24.678680,24.997803,12.809139,1.779342,24.820515
-1.037949,18.854725,0.837524,24.811649,24.997803,12.853479,1.779342,24.811649
-0.844543,18.854725,0.831649,24.758461,24.997803,12.755970,1.779342,24.820515
-1.779342,18.854725,0.831649,24.882563,24.997803,12.782564,1.779342,24.820509
-0.986374,18.854725,0.831649,24.687546,24.997803,12.871208,1.779342,24.723003
-0.734945,18.854725,0.831649,24.678680,24.997803,12.720512,1.779342,24.696409
-0.489964,18.854725,0.831649,24.953480,24.997803,12.729377,1.779342,24.696409
-0.676915,18.854725,0.831649,24.873701,24.997803,12.809157,1.779342,24.820774
-0.670477,18.854725,0.838096,24.731867,24.997803,12.800199,1.779342,24.820473
-0.644689,18.854725,0.831649,24.723003,24.997803,12.791429,1.779342,24.820515
-0.606008,18.854725,0.831649,24.837975,24.997803,12.755970,1.779342,24.776190
-0.347750,18.854725,0.831649,24.749596,24.997803,12.764835,1.779342,24.785952
-0.838096,18.854725,0.831649,24.855972,24.997803,12.835262,1.779342,24.811649
-0.767180,18.854725,0.831649,24.731756,24.997803,12.720512,1.779342,24.678680
-0.341685,18.854725,0.883224,24.785135,24.997803,12.880073,1.779342,24.820515
-0.715605,18.854725,0.831649,24.749596,24.997803,12.738242,1.779342,24.696299
-0.838096,18.854725,0.838096,24.793919,24.997803,12.818058,1.779342,24.811649
-0.844543,18.854725,0.831649,24.677782,24.997803,12.702784,1.779342,24.820515
-1.224909,18.854725,0.825210,24.625492,24.997803,12.649597,1.779342,24.820515
-0.817639,18.854725,0.831649,24.776190,24.997803,12.880073,1.779342,24.740919
-0.528645,18.854725,0.825202,24.705275,24.997803,12.782564,1.779342,24.820515
-1.244250,18.854725,0.857436,24.829227,24.997803,12.862344,1.779342,24.820515
-1.063737,18.854725,0.838096,24.785053,24.997803,12.800292,1.779342,24.820515
-0.760733,18.854725,0.831649,24.802782,24.997803,12.764835,1.779342,24.651190
-1.173334,18.854725,0.838096,24.838240,24.997803,12.729377,1.779342,24.793919
-0.896118,18.854725,0.831649,24.785093,24.997803,12.747106,1.779342,24.749596
-0.902565,18.854725,0.827743,24.652088,24.997803,12.676190,1.779342,24.669817
-0.502859,18.854725,0.825202,24.847105,24.997803,12.747106,1.779342,24.802782
-0.941246,18.863590,0.831649,24.829376,24.997803,12.809157,1.779342,24.660952
-0.419048,18.854725,0.831649,24.660952,24.997803,12.702826,1.779342,24.811649
-0.438389,18.854725,0.831649,24.785017,24.997803,12.862344,1.779342,24.820515
-0.438388,18.854725,0.831649,24.758461,24.997803,12.676190,1.779342,24.784864
-1.050843,18.854725,0.831649,24.882563,24.997803,12.826886,1.779342,24.696409
-0.483517,18.854725,0.831649,24.678680,24.997803,12.862344,1.779342,24.820515
-1.218462,18.854725,0.827743,24.828480,24.997803,12.755970,1.779342,24.714138
-0.754135,18.854725,0.825202,24.723003,24.997803,12.782564,1.779342,24.669817
-0.560867,18.854725,0.831649,24.740732,24.997803,12.773810,1.779342,24.607765
-0.244982,18.854725,0.844543,24.590036,24.997803,12.658462,1.779342,24.696409
-0.876777,18.854725,0.831649,24.758461,24.997803,12.755970,1.779342,24.767328
-0.995757,18.854725,0.831649,24.855972,24.997803,12.791429,1.779342,24.767328
-1.095971,18.854725,0.831649,24.909159,24.997803,12.738242,1.779342,24.820515
-0.986374,18.854725,0.831649,24.767328,24.997803,12.818036,1.779342,24.820515
-1.089524,18.854725,0.824821,24.668022,24.997803,12.906666,1.779342,24.820515
-0.367473,18.854725,0.831649,24.909159,24.997803,12.791429,1.779342,24.695515
-0.928352,18.854725,0.831649,24.749596,24.997803,12.729377,1.779342,24.643259
-0.393260,18.854725,0.825202,24.598902,24.997803,12.782564,1.779342,24.749596
-0.528645,18.854725,0.831649,24.980972,24.997803,12.915532,1.779342,24.820515
